country,OECD,id,weight,sex,grade,computer,software,internet,addit_time_math,addit_time_science,parent_support,parent_status,want_best_grades,want_best_student,test_anxiety,enjoy_cooperation,sense_of_belonging,parent_support_emotional,HOMESCH,ENTUSE,ICTHOME,ICTSCH,wealth,parent_edu,learning_mins,escs_index,teacher_support_science,teacher_direct_science,inquiry_based_science,science_self_efficacy,math,reading,science,learning_hours,region
United States,Yes,84004043,564.426,Female,10,Yes,No,No,4,4,Strongly agree,Agree,Agree,Agree,1.3578,0.0407,0.412,1.0991,NA,NA,NA,NA,-1.4101,3,660,-2.9418,-0.4496,-0.6102,-0.0445,-0.4074,413.1094,415.9741,413.3753,11,N. America
United States,Yes,84008535,450.5708,Female,10,Yes,No,Yes,1,NA,Strongly agree,Agree,Strongly disagree,Strongly agree,1.8135,-0.2882,-0.1985,-0.2495,NA,NA,NA,NA,-0.0791,9,240,-1.3274,-0.2618,0.7107,-0.0778,0.3155,357.3218,388.3218,390.5474,4,N. America
United States,Yes,84003632,740.1365,Female,11,Yes,Yes,Yes,1,NA,Strongly agree,Agree,Strongly agree,Strongly agree,0.5209,0.5759,-0.2588,1.0991,NA,NA,NA,NA,0.4128,16,NA,-0.0389,1.4475,0.3211,1.0675,2.3763,461.6117,483.9653,437.6233,NA,N. America
United States,Yes,84007648,646.3387,Female,9,Yes,Yes,Yes,2,1,Strongly agree,Disagree,Agree,Agree,-0.5306,-0.2882,0.6642,1.0991,NA,NA,NA,NA,0.6909,12,1800,-0.803,NA,NA,NA,NA,363.20230000000004,381.5281,433.842,30,N. America
United States,Yes,84004565,702.6839,Female,10,Yes,Yes,Yes,11,12,Strongly agree,Disagree,Strongly agree,Strongly agree,0.0031,-0.618,-1.5735,0.1018,NA,NA,NA,NA,1.1049,14,2695,1.1453,0.6375,0.8634,0.4149,1.8799,542.7534,623.4187000000001,609.6656,45,N. America
United States,Yes,84000824,565.1171,Male,10,No,No,Yes,6,7,Agree,Agree,Strongly agree,Agree,0.7964,0.4252,0.514,-0.0436,NA,NA,NA,NA,0.3852,12,1500,-0.2952,1.4475,1.4501,-0.2238,0.2936,384.3952,399.96659999999997,454.15930000000003,25,N. America
United States,Yes,84003071,758.8029,Female,10,Yes,Yes,Yes,30,30,Strongly agree,Agree,Strongly agree,Strongly agree,0.2122,-1.2786,-1.044,1.0991,NA,NA,NA,NA,3.3745,16,NA,2.0604,0.8213,2.0781,1.9311,3.2775,409.939,427.6611,415.4954,NA,N. America
United States,Yes,84005603,637.5507,Female,10,No,No,No,0,2,Agree,Disagree,Strongly agree,Strongly agree,-0.1433,-1.198,-0.0621,-0.889,NA,NA,NA,NA,-1.4731,6,2025,-2.2398,-0.9096,-0.6102,-0.5776,-0.5589,519.1615,491.7684,488.2889,34,N. America
United States,Yes,84006785,537.8936,Male,10,Yes,Yes,Yes,5,5,Strongly agree,Agree,Agree,Agree,-0.1709,0.395,-0.2387,1.0991,NA,NA,NA,NA,1.0619,16,1800,1.0362,0.3719,0.9505,0.2537,-0.4274,419.34569999999997,450.7019,450.6057,30,N. America
United States,Yes,84008188,1073.476,Female,10,Yes,Yes,Yes,5,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,-0.4305,-0.3352,1.5611,0.0264,NA,NA,NA,NA,0.8262,16,1540,1.4781,-1.5887,-0.0828,-0.2331,-0.7324,524.2916,575.989,538.1116,26,N. America
United States,Yes,84009121,489.7409,Female,9,No,Yes,Yes,0,9,Strongly agree,Disagree,Strongly agree,Strongly agree,0.5769,1.3264,-0.8248,1.0991,NA,NA,NA,NA,-1.5324,16,1800,-1.0229,-0.6536,0.8634,-0.0457,0.9539,395.47929999999997,415.2017,376.6569,30,N. America
United States,Yes,84004554,699.8479,Female,10,Yes,Yes,Yes,5,3,Strongly agree,Strongly agree,Strongly agree,Strongly agree,-1.464,2.2879,2.5915,0.2302,NA,NA,NA,NA,0.0916,14,NA,0.7642,1.4475,2.0781,2.1533,0.3155,473.2713,484.9934,450.5967,NA,N. America
United States,Yes,84001019,502.6015,Male,10,Yes,No,Yes,1,1,Strongly agree,Disagree,Strongly agree,Agree,-0.8455,-1.2109,-0.3381,0.1018,NA,NA,NA,NA,0.0126,12,810,-0.3378,0.3574,-0.2928,0.2563,0.3155,478.8759,498.1449,530.714,14,N. America
United States,Yes,84010748,695.6388,Female,11,Yes,Yes,Yes,3,2,Strongly agree,Agree,Strongly agree,Agree,0.4939,0.9455,0.7555,1.0991,NA,NA,NA,NA,1.4521,12,1575,0.1629,NA,NA,NA,0.3277,477.8713,527.5895,530.4248,26,N. America
United States,Yes,84000638,701.6437,Female,10,Yes,Yes,Yes,2,8,Strongly agree,Disagree,Strongly agree,Strongly agree,0.1343,1.164,-0.983,-0.2495,NA,NA,NA,NA,1.649,14,1700,0.9163,0.8213,0.7888,0.9259,0.1495,544.6998,617.0101999999999,572.5099,28,N. America
United States,Yes,84001540,636.0884,Male,10,Yes,No,Yes,5,5,Strongly agree,Strongly agree,Agree,Agree,0.0647,-0.7876,0.2947,-0.7498,NA,NA,NA,NA,1.364,16,1650,0.859,0.1582,-0.6102,0.2184,0.0926,453.0978,458.0192,453.4402,28,N. America
United States,Yes,84007350,465.5407,Female,10,No,Yes,Yes,3,3,Strongly agree,Disagree,Agree,Disagree,0.3265,-1.2109,0.1802,-0.2495,NA,NA,NA,NA,0.2297,9,1980,-1.3677,1.4475,-2.4476,0.5841,0.3155,381.5757,419.2933,408.37080000000003,33,N. America
United States,Yes,84007216,498.3776,Male,10,Yes,Yes,Yes,16,20,Agree,Agree,Agree,Disagree,-0.2067,-0.2882,-0.3701,-0.4263,NA,NA,NA,NA,1.1731,12,2000,0.2166,-0.4082,-0.6849,0.0646,-0.0933,363.213,489.5694,475.6525,33,N. America
